Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
1.4194e-01,0.185203
1.4197e-01,0.175406
1.4200e-01,0.167109
1.4203e-01,0.159969
1.4206e-01,0.150891
1.4210e-01,0.140031
1.4213e-01,0.130891
1.4216e-01,0.122984
1.4219e-01,0.116813
1.4222e-01,0.114109
1.4226e-01,0.109391
1.4229e-01,0.106438
1.4232e-01,0.106641
1.4235e-01,0.101938
1.4238e-01,0.101141
1.4242e-01,0.100891
1.4245e-01,0.0997656
1.4248e-01,0.0986875
1.4251e-01,0.0989688
1.4254e-01,0.0996406
1.4258e-01,0.101188
1.4261e-01,0.103203
1.4264e-01,0.104703
1.4267e-01,0.108125
1.4270e-01,0.109406
1.4274e-01,0.112875
1.4277e-01,0.115875
1.4280e-01,0.117672
1.4283e-01,0.121281
1.4286e-01,0.124281
1.4290e-01,0.126719
1.4293e-01,0.130922
1.4296e-01,0.133547
1.4299e-01,0.136281
1.4302e-01,0.139328
1.4306e-01,0.141078
1.4309e-01,0.144516
1.4312e-01,0.150063
1.4315e-01,0.155547
1.4318e-01,0.162203
1.4322e-01,0.1725
1.4325e-01,0.183922
1.4328e-01,0.191203
1.4331e-01,0.201953
1.4334e-01,0.214594
1.4338e-01,0.224641
1.4341e-01,0.241391
1.4344e-01,0.251406
1.4347e-01,0.267594
1.4350e-01,0.276063
1.4354e-01,0.285
1.4357e-01,0.296469
1.4360e-01,0.301203
1.4363e-01,0.307906
1.4366e-01,0.309703
1.4370e-01,0.310484
1.4373e-01,0.309984
1.4376e-01,0.308344
1.4379e-01,0.301813
1.4382e-01,0.2885
1.4386e-01,0.275953
1.4389e-01,0.262781
1.4392e-01,0.245984
1.4395e-01,0.229891
1.4398e-01,0.211922
1.4402e-01,0.196172
1.4405e-01,0.180906
1.4408e-01,0.168297
1.4411e-01,0.154156
1.4414e-01,0.140672
1.4418e-01,0.1285
1.4421e-01,0.116031
1.4424e-01,0.107609
1.4427e-01,0.101172
1.4430e-01,0.096125
1.4434e-01,0.090875
1.4437e-01,0.0882344
1.4440e-01,0.0857969
1.4443e-01,0.0835781
1.4446e-01,0.0816406
1.4450e-01,0.0811094
1.4453e-01,0.0808906
1.4456e-01,0.0802813
1.4459e-01,0.079125
1.4462e-01,0.0785313
1.4466e-01,0.0772344
1.4469e-01,0.0760469
1.4472e-01,0.0741563
1.4475e-01,0.0750938
1.4478e-01,0.0750469
1.4482e-01,0.0757031
1.4485e-01,0.0767813
1.4488e-01,0.0770938
1.4491e-01,0.079
1.4494e-01,0.0803438
1.4498e-01,0.0821406
1.4501e-01,0.0867031
1.4504e-01,0.0896719
1.4507e-01,0.0939531
1.4510e-01,0.0985625
1.4514e-01,0.104891
1.4517e-01,0.112922
1.4520e-01,0.121875
1.4523e-01,0.130797
1.4526e-01,0.138781
1.4530e-01,0.147203
1.4533e-01,0.156547
1.4536e-01,0.165891
1.4539e-01,0.177203
1.4542e-01,0.184375
1.4546e-01,0.192031
1.4549e-01,0.199297
1.4552e-01,0.206781
1.4555e-01,0.208797
1.4558e-01,0.215516
1.4562e-01,0.212859
1.4565e-01,0.212797
1.4568e-01,0.210953
1.4571e-01,0.207578
1.4574e-01,0.201703
1.4578e-01,0.194969
1.4581e-01,0.183891
1.4584e-01,0.176969
1.4587e-01,0.166828
1.4590e-01,0.157625
1.4594e-01,0.145719
1.4597e-01,0.135266
1.4600e-01,0.123844
1.4603e-01,0.115891
1.4606e-01,0.108734
1.4610e-01,0.102313
1.4613e-01,0.099
1.4616e-01,0.0964219
1.4619e-01,0.0931406
1.4622e-01,0.09325
1.4626e-01,0.0914531
1.4629e-01,0.0895781
1.4632e-01,0.0872969
1.4635e-01,0.0862031
1.4638e-01,0.0850469
1.4642e-01,0.0840313
1.4645e-01,0.0816719
1.4648e-01,0.0819688
1.4651e-01,0.0816563
1.4654e-01,0.0815781
1.4658e-01,0.0813438
1.4661e-01,0.0817969
1.4664e-01,0.0812344
1.4667e-01,0.0817031
1.4670e-01,0.0825313
1.4674e-01,0.0848125
1.4677e-01,0.0875313
1.4680e-01,0.0910469
1.4683e-01,0.0975625
1.4686e-01,0.103672
1.4690e-01,0.10925
1.4693e-01,0.115344
1.4696e-01,0.12475
1.4699e-01,0.133328
1.4702e-01,0.143078
1.4706e-01,0.15375
1.4709e-01,0.164313
1.4712e-01,0.175375
1.4715e-01,0.184969
1.4718e-01,0.196219
1.4722e-01,0.20525
1.4725e-01,0.213891
1.4728e-01,0.222125
1.4731e-01,0.228469
1.4734e-01,0.236688
1.4738e-01,0.245141
1.4741e-01,0.249984
1.4744e-01,0.253219
1.4747e-01,0.255906
1.4750e-01,0.258781
1.4754e-01,0.259109
1.4757e-01,0.254953
1.4760e-01,0.248672
1.4763e-01,0.240516
1.4766e-01,0.233656
1.4770e-01,0.225344
1.4773e-01,0.210734
1.4776e-01,0.197578
1.4779e-01,0.184969
1.4782e-01,0.170094
1.4786e-01,0.155563
1.4789e-01,0.141359
1.4792e-01,0.127
1.4795e-01,0.115125
1.4798e-01,0.103109
1.4802e-01,0.0920625
1.4805e-01,0.0829531
1.4808e-01,0.0747969
1.4811e-01,0.06775
1.4814e-01,0.0613125
1.4818e-01,0.0550313
1.4821e-01,0.0514688
1.4824e-01,0.049125
1.4827e-01,0.0467656
1.4830e-01,0.0461563
1.4834e-01,0.0455469
1.4837e-01,0.0444688
1.4840e-01,0.0460156
1.4843e-01,0.045625
1.4846e-01,0.0450938
1.4850e-01,0.046625
1.4853e-01,0.0490469
1.4856e-01,0.0497031
1.4859e-01,0.0505469
1.4862e-01,0.0525469
1.4866e-01,0.0539375
1.4869e-01,0.055
1.4872e-01,0.0578125
1.4875e-01,0.0586406
1.4878e-01,0.0606563
1.4882e-01,0.0654219
1.4885e-01,0.069125
