Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
1.4023e-01,0.317875
1.4026e-01,0.329062
1.4030e-01,0.339969
1.4033e-01,0.352281
1.4036e-01,0.357094
1.4039e-01,0.363812
1.4042e-01,0.392937
1.4046e-01,0.413312
1.4049e-01,0.429594
1.4052e-01,0.452687
1.4055e-01,0.487219
1.4058e-01,0.505062
1.4062e-01,0.539
1.4065e-01,0.564375
1.4068e-01,0.596531
1.4071e-01,0.626781
1.4074e-01,0.663187
1.4078e-01,0.698344
1.4081e-01,0.746156
1.4084e-01,0.785844
1.4087e-01,0.828344
1.4090e-01,0.856719
1.4094e-01,0.895594
1.4097e-01,0.933687
1.4100e-01,0.971375
1.4103e-01,1.01347
1.4106e-01,1.05656
1.4110e-01,1.06253
1.4113e-01,1.08444
1.4116e-01,1.11562
1.4119e-01,1.13984
1.4122e-01,1.14691
1.4126e-01,1.16253
1.4129e-01,1.15347
1.4132e-01,1.15025
1.4135e-01,1.153
1.4138e-01,1.12822
1.4142e-01,1.09634
1.4145e-01,1.06712
1.4148e-01,1.02844
1.4151e-01,1.00019
1.4154e-01,0.961125
1.4158e-01,0.919031
1.4161e-01,0.874344
1.4164e-01,0.824437
1.4167e-01,0.776562
1.4170e-01,0.72375
1.4174e-01,0.665594
1.4177e-01,0.61625
1.4180e-01,0.568812
1.4183e-01,0.526187
1.4186e-01,0.468781
1.4190e-01,0.429281
1.4193e-01,0.382406
1.4196e-01,0.34475
1.4199e-01,0.307062
1.4202e-01,0.280719
1.4206e-01,0.252469
1.4209e-01,0.225531
1.4212e-01,0.205312
1.4215e-01,0.185625
1.4218e-01,0.170281
1.4222e-01,0.156875
1.4225e-01,0.144844
1.4228e-01,0.136844
1.4231e-01,0.123156
1.4234e-01,0.114
1.4238e-01,0.104406
1.4241e-01,0.0988437
1.4244e-01,0.094125
1.4247e-01,0.0913437
1.4250e-01,0.0845625
1.4254e-01,0.08375
1.4257e-01,0.0815
1.4260e-01,0.0773125
1.4263e-01,0.0772812
1.4266e-01,0.0755937
1.4270e-01,0.0762812
1.4273e-01,0.07375
1.4276e-01,0.07
1.4279e-01,0.0690312
1.4282e-01,0.0679375
1.4286e-01,0.0665937
1.4289e-01,0.0637812
1.4292e-01,0.0653125
1.4295e-01,0.0650937
1.4298e-01,0.0610312
1.4302e-01,0.0610625
1.4305e-01,0.0597187
1.4308e-01,0.059875
1.4311e-01,0.0573125
1.4314e-01,0.0589375
1.4318e-01,0.0618125
1.4321e-01,0.0628437
1.4324e-01,0.0580937
1.4327e-01,0.0569375
1.4330e-01,0.0565625
1.4334e-01,0.0570625
1.4337e-01,0.0569687
1.4340e-01,0.0569687
1.4343e-01,0.0566875
1.4346e-01,0.0582187
1.4350e-01,0.0566562
1.4353e-01,0.0560312
1.4356e-01,0.0542187
1.4359e-01,0.054875
1.4362e-01,0.054125
1.4366e-01,0.0565312
1.4369e-01,0.0530312
1.4372e-01,0.053875
1.4375e-01,0.0534062
1.4378e-01,0.0515625
1.4382e-01,0.04925
1.4385e-01,0.0505312
1.4388e-01,0.0536875
1.4391e-01,0.0559375
1.4394e-01,0.0555
1.4398e-01,0.053
1.4401e-01,0.0547187
1.4404e-01,0.0514062
1.4407e-01,0.0486562
1.4410e-01,0.0478437
1.4414e-01,0.0482187
1.4417e-01,0.047875
1.4420e-01,0.0475
1.4423e-01,0.0440625
1.4426e-01,0.0466562
1.4430e-01,0.0445937
1.4433e-01,0.0474062
1.4436e-01,0.0480937
1.4439e-01,0.0480312
1.4442e-01,0.0480937
1.4446e-01,0.048375
1.4449e-01,0.0499687
1.4452e-01,0.0483437
1.4455e-01,0.0500937
1.4458e-01,0.05125
1.4462e-01,0.0484062
1.4465e-01,0.048125
1.4468e-01,0.0485312
1.4471e-01,0.0485937
1.4474e-01,0.0494062
1.4478e-01,0.0481875
1.4481e-01,0.04775
1.4484e-01,0.0475312
1.4487e-01,0.048
1.4490e-01,0.0482187
1.4494e-01,0.048
1.4497e-01,0.0484062
1.4500e-01,0.0478437
1.4503e-01,0.048625
1.4506e-01,0.0475312
1.4510e-01,0.0479062
1.4513e-01,0.0484062
1.4516e-01,0.0510937
1.4519e-01,0.0481875
1.4522e-01,0.0486875
1.4526e-01,0.0519062
1.4529e-01,0.0531875
1.4532e-01,0.0515312
1.4535e-01,0.053375
1.4538e-01,0.0522812
1.4542e-01,0.0535937
1.4545e-01,0.0531562
1.4548e-01,0.0560625
1.4551e-01,0.0539687
1.4554e-01,0.0539687
1.4558e-01,0.0538437
1.4561e-01,0.0543437
1.4564e-01,0.0518437
1.4567e-01,0.0554062
1.4570e-01,0.0558125
1.4574e-01,0.0559687
1.4577e-01,0.055
1.4580e-01,0.0560625
1.4583e-01,0.056
1.4586e-01,0.0557812
1.4590e-01,0.05625
1.4593e-01,0.0564062
1.4596e-01,0.0550937
1.4599e-01,0.0545625
1.4602e-01,0.0545625
1.4606e-01,0.055875
1.4609e-01,0.0522187
1.4612e-01,0.0545937
1.4615e-01,0.055875
1.4618e-01,0.0502812
1.4622e-01,0.0500937
1.4625e-01,0.052625
1.4628e-01,0.0543125
1.4631e-01,0.0545312
1.4634e-01,0.0549062
1.4638e-01,0.054875
1.4641e-01,0.0538125
1.4644e-01,0.0499062
1.4647e-01,0.0503125
1.4650e-01,0.05275
1.4654e-01,0.051625
1.4657e-01,0.0533125
1.4660e-01,0.0545625
1.4663e-01,0.0541875
1.4666e-01,0.0539062
1.4670e-01,0.0555625
1.4673e-01,0.0565
1.4676e-01,0.0560312
1.4679e-01,0.0562812
1.4682e-01,0.0588125
1.4686e-01,0.05925
1.4689e-01,0.0585312
1.4692e-01,0.0577187
1.4695e-01,0.0588437
1.4698e-01,0.0566562
1.4702e-01,0.0628437
1.4705e-01,0.0639687
1.4708e-01,0.0655
1.4711e-01,0.0653125
1.4714e-01,0.0656562
1.4718e-01,0.069625
1.4721e-01,0.0696875
1.4724e-01,0.0703437
1.4727e-01,0.0719062
1.4730e-01,0.0729375
1.4734e-01,0.0754687
1.4737e-01,0.0767187
1.4740e-01,0.0776562
1.4743e-01,0.0827812
1.4746e-01,0.0859375
1.4750e-01,0.0873437
1.4753e-01,0.0867812
1.4756e-01,0.091
1.4759e-01,0.0941875
1.4762e-01,0.0973437
1.4766e-01,0.100594
1.4769e-01,0.102062
1.4772e-01,0.104281
1.4775e-01,0.108687
1.4778e-01,0.109469
1.4782e-01,0.114031
1.4785e-01,0.120594
1.4788e-01,0.120812
1.4791e-01,0.123219
1.4794e-01,0.123969
1.4798e-01,0.128906
1.4801e-01,0.128969
1.4804e-01,0.133781
1.4807e-01,0.137687
1.4810e-01,0.140531
1.4814e-01,0.148375
1.4817e-01,0.151719
1.4820e-01,0.1545
1.4823e-01,0.161906
1.4826e-01,0.171437
1.4830e-01,0.172344
1.4833e-01,0.178937
1.4836e-01,0.190187
1.4839e-01,0.197375
1.4842e-01,0.205937
1.4846e-01,0.215406
1.4849e-01,0.217937
1.4852e-01,0.225719
1.4855e-01,0.234219
1.4858e-01,0.247344
1.4862e-01,0.254469
1.4865e-01,0.267625
1.4868e-01,0.280687
1.4871e-01,0.291094
1.4874e-01,0.310656
1.4878e-01,0.309562
1.4881e-01,0.321187
1.4884e-01,0.325281
1.4887e-01,0.334156
1.4890e-01,0.343469
1.4894e-01,0.358031
1.4897e-01,0.363781
1.4900e-01,0.379531
1.4903e-01,0.391875
1.4906e-01,0.40225
1.4910e-01,0.412281
1.4913e-01,0.422844
1.4916e-01,0.440156
1.4919e-01,0.456281
1.4922e-01,0.474594
1.4926e-01,0.496594
1.4929e-01,0.510531
1.4932e-01,0.536
1.4935e-01,0.558969
1.4938e-01,0.591312
1.4942e-01,0.62775
1.4945e-01,0.666
1.4948e-01,0.705906
1.4951e-01,0.750312
1.4954e-01,0.776156
1.4958e-01,0.824125
1.4961e-01,0.870844
1.4964e-01,0.916969
1.4967e-01,0.950875
1.4970e-01,0.989312
1.4974e-01,1.02381
1.4977e-01,1.03772
1.4980e-01,1.06587
1.4983e-01,1.09025
1.4986e-01,1.10216
1.4990e-01,1.12222
1.4993e-01,1.13703
1.4996e-01,1.13134
1.4999e-01,1.12441
1.5002e-01,1.10706
1.5006e-01,1.09141
1.5009e-01,1.07
1.5012e-01,1.03609
1.5015e-01,0.997875
1.5018e-01,0.966781
1.5022e-01,0.9295
1.5025e-01,0.905375
1.5028e-01,0.858687
1.5031e-01,0.810906
1.5034e-01,0.761187
1.5038e-01,0.701906
1.5041e-01,0.648562
1.5044e-01,0.595625
1.5047e-01,0.534594
1.5050e-01,0.488094
1.5054e-01,0.445094
1.5057e-01,0.399531
1.5060e-01,0.364625
1.5063e-01,0.346469
1.5066e-01,0.327094
1.5070e-01,0.299937
1.5073e-01,0.283562
1.5076e-01,0.260187
1.5079e-01,0.242844
1.5082e-01,0.23375
1.5086e-01,0.226219
1.5089e-01,0.226937
1.5092e-01,0.2255
1.5095e-01,0.227531
1.5098e-01,0.229406
1.5102e-01,0.234344
1.5105e-01,0.233312
1.5108e-01,0.231531
1.5111e-01,0.238875
1.5114e-01,0.246156
1.5118e-01,0.257656
1.5121e-01,0.2605
1.5124e-01,0.267875
1.5127e-01,0.276687
1.5130e-01,0.279719
1.5134e-01,0.292625
1.5137e-01,0.30925
1.5140e-01,0.323625
1.5143e-01,0.332937
1.5146e-01,0.342594
1.5150e-01,0.355687
1.5153e-01,0.369344
1.5156e-01,0.386656
1.5159e-01,0.401
1.5162e-01,0.41725
1.5166e-01,0.432844
1.5169e-01,0.456937
1.5172e-01,0.475594
1.5175e-01,0.492906
1.5178e-01,0.513906
1.5182e-01,0.530937
1.5185e-01,0.544156
1.5188e-01,0.558844
1.5191e-01,0.566406
1.5194e-01,0.589375
1.5198e-01,0.603281
1.5201e-01,0.607156
1.5204e-01,0.6165
1.5207e-01,0.621094
1.5210e-01,0.620969
1.5214e-01,0.612687
1.5217e-01,0.6015
1.5220e-01,0.589
1.5223e-01,0.574625
1.5226e-01,0.561187
1.5230e-01,0.545875
1.5233e-01,0.524656
1.5236e-01,0.5045
1.5239e-01,0.477875
1.5242e-01,0.452
1.5246e-01,0.432875
1.5249e-01,0.4045
1.5252e-01,0.371
1.5255e-01,0.343406
1.5258e-01,0.312
1.5262e-01,0.290312
1.5265e-01,0.268375
1.5268e-01,0.254281
1.5271e-01,0.234344
1.5274e-01,0.219219
1.5278e-01,0.205281
1.5281e-01,0.190062
1.5284e-01,0.179281
1.5287e-01,0.175312
1.5290e-01,0.168531
1.5294e-01,0.160406
1.5297e-01,0.156687
1.5300e-01,0.157344
1.5303e-01,0.154875
1.5306e-01,0.157969
1.5310e-01,0.159094
1.5313e-01,0.158875
1.5316e-01,0.155031
1.5319e-01,0.155562
1.5322e-01,0.152812
1.5326e-01,0.152937
1.5329e-01,0.157312
1.5332e-01,0.157125
1.5335e-01,0.153437
1.5338e-01,0.1525
1.5342e-01,0.152781
1.5345e-01,0.153
1.5348e-01,0.154219
1.5351e-01,0.158812
1.5354e-01,0.159937
1.5358e-01,0.160719
1.5361e-01,0.160031
1.5364e-01,0.160562
1.5367e-01,0.167781
1.5370e-01,0.175187
1.5374e-01,0.1755
1.5377e-01,0.173906
1.5380e-01,0.177437
1.5383e-01,0.186531
1.5386e-01,0.19
1.5390e-01,0.197219
1.5393e-01,0.202969
1.5396e-01,0.208062
1.5399e-01,0.213031
1.5402e-01,0.217125
1.5406e-01,0.222687
1.5409e-01,0.2235
1.5412e-01,0.228344
1.5415e-01,0.234125
1.5418e-01,0.234031
1.5422e-01,0.230625
1.5425e-01,0.230094
1.5428e-01,0.225
1.5431e-01,0.221281
1.5434e-01,0.218469
1.5438e-01,0.213687
1.5441e-01,0.207969
1.5444e-01,0.199469
1.5447e-01,0.196594
1.5450e-01,0.188969
1.5454e-01,0.173375
1.5457e-01,0.1695
1.5460e-01,0.156312
1.5463e-01,0.148406
1.5466e-01,0.141937
1.5470e-01,0.133969
1.5473e-01,0.132906
1.5476e-01,0.129844
1.5479e-01,0.128281
1.5482e-01,0.126219
1.5486e-01,0.119969
1.5489e-01,0.120344
1.5492e-01,0.118281
1.5495e-01,0.11925
1.5498e-01,0.118781
1.5502e-01,0.118812
1.5505e-01,0.123625
1.5508e-01,0.129125
1.5511e-01,0.13225
1.5514e-01,0.139937
1.5518e-01,0.149812
1.5521e-01,0.157437
1.5524e-01,0.160625
1.5527e-01,0.166625
1.5530e-01,0.180469
1.5534e-01,0.19075
1.5537e-01,0.198219
1.5540e-01,0.2045
1.5543e-01,0.216156
1.5546e-01,0.223625
1.5550e-01,0.229625
1.5553e-01,0.238187
1.5556e-01,0.244781
1.5559e-01,0.259844
1.5562e-01,0.272219
1.5566e-01,0.27
1.5569e-01,0.272437
1.5572e-01,0.274469
1.5575e-01,0.273844
1.5578e-01,0.276906
1.5582e-01,0.282625
1.5585e-01,0.290469
1.5588e-01,0.290812
1.5591e-01,0.289562
1.5594e-01,0.285062
1.5598e-01,0.276562
1.5601e-01,0.271781
1.5604e-01,0.269969
1.5607e-01,0.267812
1.5610e-01,0.253844
1.5614e-01,0.250031
1.5617e-01,0.242281
1.5620e-01,0.230312
1.5623e-01,0.227562
1.5626e-01,0.218
1.5630e-01,0.214281
1.5633e-01,0.210156
1.5636e-01,0.205
1.5639e-01,0.197094
1.5642e-01,0.195187
1.5646e-01,0.192
1.5649e-01,0.186437
1.5652e-01,0.183312
1.5655e-01,0.183781
1.5658e-01,0.18475
1.5662e-01,0.186406
1.5665e-01,0.187219
1.5668e-01,0.18775
1.5671e-01,0.196594
1.5674e-01,0.197781
1.5678e-01,0.201281
1.5681e-01,0.212344
1.5684e-01,0.214594
1.5687e-01,0.223781
1.5690e-01,0.230781
1.5694e-01,0.240812
1.5697e-01,0.245969
1.5700e-01,0.252187
1.5703e-01,0.268562
1.5706e-01,0.27275
1.5710e-01,0.277
1.5713e-01,0.291062
1.5716e-01,0.304437
1.5719e-01,0.310281
1.5722e-01,0.328844
1.5726e-01,0.346656
1.5729e-01,0.368
1.5732e-01,0.386156
1.5735e-01,0.405469
1.5738e-01,0.422187
1.5742e-01,0.444375
1.5745e-01,0.460594
1.5748e-01,0.472969
1.5751e-01,0.489656
1.5754e-01,0.513281
1.5758e-01,0.5375
1.5761e-01,0.54825
1.5764e-01,0.566312
1.5767e-01,0.576937
1.5770e-01,0.588625
1.5774e-01,0.598844
1.5777e-01,0.602937
1.5780e-01,0.594687
1.5783e-01,0.592375
1.5786e-01,0.579687
1.5790e-01,0.579219
1.5793e-01,0.572625
1.5796e-01,0.561094
1.5799e-01,0.545281
1.5802e-01,0.523937
1.5806e-01,0.504281
1.5809e-01,0.488187
1.5812e-01,0.466094
1.5815e-01,0.445594
1.5818e-01,0.427
1.5822e-01,0.403406
1.5825e-01,0.386094
1.5828e-01,0.369281
1.5831e-01,0.358937
1.5834e-01,0.348281
1.5838e-01,0.3325
1.5841e-01,0.322469
1.5844e-01,0.307687
1.5847e-01,0.303656
1.5850e-01,0.295219
1.5854e-01,0.293187
1.5857e-01,0.292625
1.5860e-01,0.293344
1.5863e-01,0.292406
1.5866e-01,0.290469
1.5870e-01,0.291469
1.5873e-01,0.288469
1.5876e-01,0.286937
1.5879e-01,0.300531
1.5882e-01,0.296625
1.5886e-01,0.301562
1.5889e-01,0.312094
1.5892e-01,0.318094
1.5895e-01,0.332656
1.5898e-01,0.34975
1.5902e-01,0.359719
1.5905e-01,0.38125
1.5908e-01,0.407094
1.5911e-01,0.438156
1.5914e-01,0.465094
1.5918e-01,0.482594
1.5921e-01,0.515156
1.5924e-01,0.558375
1.5927e-01,0.596031
1.5930e-01,0.633469
1.5934e-01,0.672781
1.5937e-01,0.721125
1.5940e-01,0.765906
1.5943e-01,0.821687
1.5946e-01,0.873906
1.5950e-01,0.928062
1.5953e-01,0.973281
1.5956e-01,1.01569
1.5959e-01,1.04922
1.5962e-01,1.09012
1.5966e-01,1.1185
1.5969e-01,1.14575
1.5972e-01,1.1605
1.5975e-01,1.18441
1.5978e-01,1.19472
1.5982e-01,1.19647
1.5985e-01,1.20762
1.5988e-01,1.18369
1.5991e-01,1.15375
1.5994e-01,1.11791
1.5998e-01,1.08337
1.6001e-01,1.05241
1.6004e-01,0.997969
1.6007e-01,0.943687
1.6010e-01,0.909312
1.6014e-01,0.848062
1.6017e-01,0.797844
1.6020e-01,0.733781
1.6023e-01,0.66325
1.6026e-01,0.595625
1.6030e-01,0.538719
1.6033e-01,0.479312
1.6036e-01,0.427031
1.6039e-01,0.390687
1.6042e-01,0.343219
1.6046e-01,0.305406
